AC Manufacturer,Model,Engine,N_engine,Power per. [hp],N_pilot,PAX,Power [hp],OEW [kg],MTOW [kg],MZFW [kg],MPW [kg],Range [km],Span [m],Area [m2],Airfoil (Root),T/O distance (50ft) [m],Landing distance (50ft) [m],V_stall [kts],Vcruise [kts],Payload fraction,,
Aircraft Industries,L 410 NG,GE H85-200,2,850,2,19,1700,4300,7000,6600,2300,2100,19.5,34.86,NACA 63A418,610,550,50-54,215-220,0.328571429,,
Antonov,An-14,Ivchenko AI-14RF,2,300,2,6,600,2600,3600,-,1000,650,21.99,39.72,-,300,300,43,103,0.277777778,,
Helio Aircraft Company,Twin Courier,Lycoming O-540-A2B,2,250,1,5,500,1418,2654,,725,2400,12.5,22.5,,98,152,31,161,0.27317257,,
Britten-Norman,Islander,Lycoming O-540-E4C5,2,260,1,9,520,1866,2994,,1261,1398,14.94,30.19,NACA23012,370,300,40,130,0.421175685,,NOT STOL/NOT REALLY COMPARABLE
Conroy Aircraft,Stolifter,Garret AiResearch TPE 331-25A,1,575,1,7,575,1179,2132,,550,,11.81,18.7,NACA2412,137,122,36,220,0.257973734,,
Javelin Aircraft,V6 STOL,Ford Motor Company V6,1,230,1,3,230,544,998,,356,1100,9.75,15.61,USA35B,46,91,45,110,0.356713427,LIST IS INCOMPLETE,
Pilatus Aircraft,PC-6 B2 Turbo-Porter,P&W PT6A-27 Turboprop,1,550,1,10,550,1270,2800,,1130,730 (mpl),15.87,30.15,NACA 64-514,440,315,52,115,0.403571429,,
Helio Aircraft Company,Courier,Lycoming GO-480-G1D6,1,295,1,5,295,943,1542,,599,1760,11.89,,NACA 23012,186,158,26,140,0.38845655,"REFERENCE IS BASED ON STOL CRITERIA (T/O DISTANCE & LANDING DISTANCE AROUND 500m High CLmax etc. ) & SIMILAR PAYLOAD (AROUND 5 PASSENGERS)",
de Havilland Canada,DHC-2 Beaver,P&W R-985 Wasp Jr.,1,450,1,6,450,1361,2313,,953,732,14.63,23,,491,305,39,137,0.412019023,,
de Havilland Canada,DHC-3 Otter,P&W R-1340-S1H1-G Wasp,1,600,1 or 2,9 or 11,600,2030,3629,,952,1540,17.68,34.8,NACA 63A516,399,297,50,120,0.262331221,,
de Havilland Canada,DHC-6 Twin Otter,PT6A-27,2,620,2,18,1240,3189,5670,4502,2481,1580,19.81,39,,366,320,52,180,0.437566138,,
Pacific Aerospace,PAC P-750 XSTOL,P&W PT6A-34 Turboprop,1,750,1,9,750,1633,3402,,1000,2183,12.8,24.88,,220,166,58,140,0.293944738,To do:,
PZL,105 Flaming,Vedeneyev M-14P,1,360,1,5,360,1130,1850,,450,1085,12.97,16.9,NASA GA(W)-1,338,326,55,102,0.243243243,(1) Check if all T/O and landing distances are the 50m value or only ground roll,
Quest/Daher,Kodiak,P&W PT6A-34 Turboprop,1,750,1,9,750,1710,3291,,935,2096,13.72,22,,285,,60,183,0.284108174,,
Partenavia,Partenavia P.68 / Vulcanair,Lycoming IO-360-A1B6,2,200,1,5,400,1420,2084,1967,680,2043,12,18.6,,490,480,57,152,0.326295585,,
GippsAero,GA8 Airvan,Textron Lycoming IO-540-K1A5,1,300,1,7,300,997,1814,,800,1352,28,19.32,USA35B,630,370,52,120,0.441014333,,
Cessna,206 Stationair,Lycoming IO-540,1,300,1,5,300,1100,1633,1500,530,1300,10.97,16.3,NACA 2412,567,425,55,140,0.324556032,,
Cessna,Grand Caravan 208,Pratt & Whitney Canada PT6,1,675,1,9,675,2145,3629,,1315,1980,15.87,26,,622,560,61,186,0.362358777,,
Maule,M-7,Lycoming O-540-J1A5D,1,235,1,4,235,703,1134,,174,1111,10.03,15.4,,182,182,43,128,0.153439153,,
Cessna,337 Skymaster,Continental IO-360-C,2,210,1,5,420,1204,1996,1914,294,1553,11.8,18.7,NACA 2412,511,503,60,125,0.147294589,,
Piper,PA-34 Seneca,Continental TSIO-360RB,2,220,1,5,440,1457,2155,,,,,,,,,,,,,
